CURSO;UNIVERSIDAD;PETICION;GRADO;CENTRO;AREA;GENERAL
2022;ALMERIA;125504;ADMINISTRACION Y DIRECCION DE EMPRESAS;FACULTAD CIENCIAS ECONOMICAS Y EMPRESARIALES;SYJ;5,000
2022;ALMERIA;125601;ADMINISTRACION Y DIRECCION DE EMPRESAS + DERECHO;FACULTAD CIENCIAS ECONOMICAS Y EMPRESARIALES;SYJ;8,986
2022;ALMERIA;126702;BIOTECNOLOGIA;FACULTAD DE CIENCIAS EXPERIMENTALES;C;10,480
2022;ALMERIA;127005;CIENCIAS AMBIENTALES;FACULTAD DE CIENCIAS EXPERIMENTALES;C;5,000
2022;ALMERIA;127501;CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE;FACULTAD DE CIENCIAS DE LA EDUCACION;SYJ;11,211
2022;ALMERIA;129509;DERECHO;FACULTAD DE DERECHO;SYJ;5,000
2022;ALMERIA;129606;DERECHO + GESTION Y ADM. PUB.;FACULTAD DE DERECHO;SYJ;5,970
2022;ALMERIA;130005;ECONOMIA;FACULTAD CIENCIAS ECONOMICAS Y EMPRESARIALES;SYJ;5,000
2022;ALMERIA;130102;ECONOMIA + MATEMATICAS;FACULTAD DE CIENCIAS EXPERIMENTALES;SIN;11,828
2022;ALMERIA;145505;EDUCACION INFANTIL;FACULTAD DE CIENCIAS DE LA EDUCACION;SYJ;7,295
2022;ALMERIA;146509;EDUCACION PRIMARIA;FACULTAD DE CIENCIAS DE LA EDUCACION;SYJ;8,500
2022;ALMERIA;146800;EDUCACION PRIMARIA + EDUCACION INFANTIL;FACULTAD DE CIENCIAS DE LA EDUCACION;SYJ;8,650
2022;ALMERIA;102200;EDUCACION SOCIAL;FACULTAD DE CIENCIAS DE LA EDUCACION;SYJ;7,080
2022;ALMERIA;102502;ENFERMERIA;FACULTAD DE CIENCIAS DE LA SALUD;SD;11,810
2022;ALMERIA;134506;ESTUDIOS INGLESES;FACULTAD DE HUMANIDADES;AYH;5,000
2022;ALMERIA;134700;ESTUDIOS INGLESES + FILOLOGIA HISPANICA;FACULTAD DE HUMANIDADES;AYH;5,000
2022;ALMERIA;134001;FILOLOGIA HISPANICA;FACULTAD DE HUMANIDADES;AYH;5,000
2022;ALMERIA;102006;FINANZAS Y CONTABILIDAD;FACULTAD CIENCIAS ECONOMICAS Y EMPRESARIALES;SYJ;5,000
2022;ALMERIA;103506;FISIOTERAPIA;FACULTAD DE CIENCIAS DE LA SALUD;SD;11,141
2022;ALMERIA;104003;GESTION Y ADMINISTRACION PUBLICA;FACULTAD DE DERECHO;SYJ;5,000
